enum_name,nilai
approval_status,"'pending', 'approved', 'rejected'"
approval_type,"'void', 'refund', 'discount_override', 'price_override', 'stock_adjustment', 'no_sale', 'wastage'"
bank_code,"'BNI', 'BCA', 'BSI'"
branch_role,"'manager', 'cashier'"
cash_movement_type,"'drop', 'pettycash_out', 'expense', 'float_in'"
discount_type,"'none', 'amount', 'percent'"
goods_receipt_status,"'draft', 'received', 'cancelled'"
movement_type,"'initial', 'sale', 'void', 'refund', 'opname', 'adjustment', 'restock', 'transfer_out', 'transfer_in', 'wastage'"
opname_status,"'draft', 'completed'"
payment_method,"'cash', 'qris', 'transfer', 'gofood', 'shopeefood', 'grabfood'"
session_status,"'open', 'closed'"
transaction_status,"'completed', 'void', 'refunded'"
transfer_status,"'draft', 'dispatched', 'received', 'cancelled'"
user_role,"'admin', 'kasir'"
wastage_status,"'pending_approval', 'approved', 'rejected'"
