table_name,ordinal_position,column_name,data_type,numeric_precision,numeric_scale,is_nullable,column_default
approvals,1,id,uuid,null,null,NO,gen_random_uuid()
approvals,2,branch_id,uuid,null,null,NO,null
approvals,3,request_type,USER-DEFINED,null,null,NO,null
approvals,4,reference_type,text,null,null,YES,null
approvals,5,reference_id,uuid,null,null,YES,null
approvals,6,requested_by,uuid,null,null,YES,null
approvals,7,approved_by,uuid,null,null,YES,null
approvals,8,status,USER-DEFINED,null,null,NO,'pending'::approval_status
approvals,9,reason,text,null,null,YES,null
approvals,10,created_at,timestamp with time zone,null,null,NO,now()
approvals,11,decided_at,timestamp with time zone,null,null,YES,null
approvals,12,payload,jsonb,null,null,YES,null
audit_logs,1,id,uuid,null,null,NO,gen_random_uuid()
audit_logs,2,actor_id,uuid,null,null,YES,null
audit_logs,3,action,text,null,null,NO,null
audit_logs,4,entity,text,null,null,YES,null
audit_logs,5,entity_id,uuid,null,null,YES,null
audit_logs,6,metadata,jsonb,null,null,YES,null
audit_logs,7,created_at,timestamp with time zone,null,null,NO,now()
audit_logs,8,branch_id,uuid,null,null,YES,null
audit_logs,9,prev_hash,text,null,null,YES,null
audit_logs,10,row_hash,text,null,null,YES,null
bank_accounts,1,id,uuid,null,null,NO,gen_random_uuid()
bank_accounts,2,bank,text,null,null,NO,null
bank_accounts,3,account_number,text,null,null,NO,''::text
bank_accounts,4,account_name,text,null,null,NO,''::text
bank_accounts,5,is_active,boolean,null,null,NO,true
bank_accounts,6,created_at,timestamp with time zone,null,null,NO,now()
bank_accounts,7,updated_at,timestamp with time zone,null,null,NO,now()
bank_accounts,8,branch_id,uuid,null,null,NO,'00000000-0000-0000-0000-0000000000c1'::uuid
branch_memberships,1,id,uuid,null,null,NO,gen_random_uuid()
branch_memberships,2,user_id,uuid,null,null,NO,null
branch_memberships,3,branch_id,uuid,null,null,NO,null
branch_memberships,4,role,USER-DEFINED,null,null,NO,null
branch_memberships,5,permissions,ARRAY,null,null,NO,'{}'::text[]
branch_memberships,6,is_active,boolean,null,null,NO,true
branch_memberships,7,created_at,timestamp with time zone,null,null,NO,now()
branch_memberships,8,updated_at,timestamp with time zone,null,null,NO,now()
branch_products,1,id,uuid,null,null,NO,gen_random_uuid()
branch_products,2,branch_id,uuid,null,null,NO,null
branch_products,3,product_id,uuid,null,null,NO,null
branch_products,4,price,numeric,14,2,NO,0
branch_products,5,min_stock,numeric,14,3,NO,0
branch_products,6,stock,numeric,14,3,NO,0
branch_products,7,is_active,boolean,null,null,NO,true
branch_products,8,created_at,timestamp with time zone,null,null,NO,now()
branch_products,9,updated_at,timestamp with time zone,null,null,NO,now()
branch_settings,1,id,uuid,null,null,NO,gen_random_uuid()
branch_settings,2,branch_id,uuid,null,null,NO,null
branch_settings,3,tax_enabled,boolean,null,null,NO,false
branch_settings,4,tax_percent,numeric,5,2,NO,0
branch_settings,5,tax_inclusive,boolean,null,null,NO,false
branch_settings,6,receipt_footer,text,null,null,YES,null
branch_settings,7,qris_image_url,text,null,null,YES,null
branch_settings,8,trx_prefix,text,null,null,NO,'TRX'::text
branch_settings,9,theme_preset,text,null,null,NO,'classic'::text
branch_settings,10,theme_primary,text,null,null,YES,null
branch_settings,11,theme_radius,text,null,null,NO,'md'::text
branch_settings,12,theme_font,text,null,null,NO,'default'::text
branch_settings,13,created_at,timestamp with time zone,null,null,NO,now()
branch_settings,14,updated_at,timestamp with time zone,null,null,NO,now()
branches,1,id,uuid,null,null,NO,gen_random_uuid()
branches,2,code,text,null,null,NO,null
branches,3,name,text,null,null,NO,null
branches,4,address,text,null,null,YES,null
branches,5,phone,text,null,null,YES,null
