tabel,rls_aktif,rls_dipaksa
approvals,true,false
audit_logs,true,false
bank_accounts,true,false
branch_memberships,true,false
branch_products,true,false
branch_settings,true,false
branches,true,false
cash_expenses,true,false
cash_movements,true,false
cash_sessions,true,false
categories,true,false
daily_closures,true,false
goods_receipt_items,true,false
goods_receipts,true,false
notifications,true,false
org_settings,true,false
payments,true,false
products,true,false
profiles,true,false
stock_movements,true,false
stock_opname_items,true,false
stock_opnames,true,false
stock_transfer_items,true,false
stock_transfers,true,false
store_settings,true,false
suppliers,true,false
transaction_items,true,false
transactions,true,false
wastage_items,true,false
wastages,true,false
